Title,Year,imdbID,Type,Poster
Crippled Avengers,1978,tt0077292,movie,https://m.media-amazon.com/images/M/MV5BYjU2ODU5NzMtMzQ2NC00MmI5LWI1NjMtNmRmMjMzOTMxNWZhXkEyXkFqcGc@._V1_SX300.jpg
The New Avengers,1976–1977,tt0074031,series,https://m.media-amazon.com/images/M/MV5BZTAwOGQwZmItNWRkOC00NDJiLTgyYTktYzlmZmI2MjdmNGY2XkEyXkFqcGc@._V1_SX300.jpg
Avengers Grimm,2015,tt4296026,movie,https://m.media-amazon.com/images/M/MV5BMTg5NDEzNDIyOV5BMl5BanBnXkFtZTgwODY3ODA5MzE@._V1_SX300.jpg
The Avengers: United They Stand,1999–2000,tt0203247,series,https://m.media-amazon.com/images/M/MV5BNDcxZjdjZTgtNDI5Ni00MDliLWFhZTYtZmQwYzdlNzA4YzYzXkEyXkFqcGc@._V1_SX300.jpg
Lego Marvel Avengers: Code Red,2023,tt28477867,movie,https://m.media-amazon.com/images/M/MV5BNWI2NWRjYzAtMGI4OS00NzgzLTk2MWEtNGI1ODI0ZWYzNjJjXkEyXkFqcGc@._V1_SX300.jpg
Marvel's Avengers,2020,tt6468680,game,https://m.media-amazon.com/images/M/MV5BM2Q5MjY1ZGQtZjY2My00NTg5LWIzZGYtY2E4MzgxYzQ0MjYwXkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_SX300.jpg
Lego Marvel Super Heroes: Avengers Reassembled,2015,tt5371572,movie,https://m.media-amazon.com/images/M/MV5BMTllMmI0NWMtYzI1Zi00YTIzLTk5MDUtNmRmN2VhZDhiMWMxXkEyXkFqcGc@._V1_SX300.jpg
Lego Marvel's Avengers,2016,tt4776398,game,https://m.media-amazon.com/images/M/MV5BMGU5MDYzYzEtYTNhNi00ODM1LWE0MDEtODUzZDNhOWMxZTBkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg
Masked Avengers,1981,tt0082153,movie,https://m.media-amazon.com/images/M/MV5BNjQ4OGU4MTEtM2E5Ny00YTI3LTkzODgtNmFhZjEwOGRmZjc0XkEyXkFqcGc@._V1_SX300.jpg
Avengers of Justice: Farce Wars,2018,tt6172666,movie,https://m.media-amazon.com/images/M/MV5BYWZmMjllNGYtYjYyMC00Y2VjLTkyYzgtMmQ1NGNkNmIxNGU3XkEyXkFqcGc@._V1_SX300.jpg
The Avengers,1942,tt0034639,movie,https://m.media-amazon.com/images/M/MV5BODU2MjQ3ZjItYzRhOC00NDFjLTk4OTUtYTkxYmZhMjVhNTEzXkEyXkFqcGc@._V1_SX300.jpg
Avengers: Infinity War IMAX® Behind the Frame,2018,tt11559766,series,https://m.media-amazon.com/images/M/MV5BNjAwMjczNDYtY2U4Zi00ODUxLWE0NWMtYTNlOThmZGRiMTFlXkEyXkFqcGc@._V1_SX300.jpg
Lego Marvel Avengers: Mission Demolition,2024,tt33653255,movie,https://m.media-amazon.com/images/M/MV5BODA0YWY0NmQtMTU2Yi00MjA4LTk3MTktNDcwZDljOTgyMTdkXkEyXkFqcGc@._V1_SX300.jpg
Avengers Grimm: Time Wars,2018,tt8159584,movie,https://m.media-amazon.com/images/M/MV5BMDQwYTMwODItNWQ5Zi00ZTkyLWEzMDctOGM0NGVlOTg3MGRlXkEyXkFqcGdeQXVyMjM0ODM1NTE@._V1_SX300.jpg
Alien Avengers,1996,tt0115503,movie,https://m.media-amazon.com/images/M/MV5BMjA1OTYyMTgzOV5BMl5BanBnXkFtZTcwMTgxNTEzMQ@@._V1_SX300.jpg
Marvel Future Avengers,2017–2018,tt6591446,series,https://m.media-amazon.com/images/M/MV5BYWZjZDE5MjYtOTU5OS00NGQwLWJkMGYtZGVmNzM3NzM4NWUxXkEyXkFqcGc@._V1_SX300.jpg
Teenage Alien Avengers,1999,tt0200421,movie,https://m.media-amazon.com/images/M/MV5BMjBhN2M1ZWMtZjI1My00OTQ5LWEyMmEtNGM2NzU4NDRlMWYxXkEyXkFqcGc@._V1_SX300.jpg
Marvel Disk Wars: The Avengers,2014–2015,tt3644256,series,https://m.media-amazon.com/images/M/MV5BOTMwYmRkY2UtZmQ2NS00YzRiLWFjNzYtNzRjMWYxY2VmY2YyXkEyXkFqcGc@._V1_SX300.jpg
The Shaolin Avengers,1976,tt0074513,movie,https://m.media-amazon.com/images/M/MV5BODE1Mzk5Y2EtNTljOS00ODY2LWExYjctYTdhYzExOWEwMTQ2XkEyXkFqcGc@._V1_SX300.jpg
Avengers: Quantum Encounter,2022,tt21192014,movie,https://m.media-amazon.com/images/M/MV5BOTRlM2QwYjAtMjg1Yy00MmYwLTk3OTItMjBmMTM4YzI4M2VmXkEyXkFqcGdeQXVyMTA4Mzg1NzM5._V1_SX300.jpg
Avengers Social Club,2017,tt7375028,series,https://m.media-amazon.com/images/M/MV5BZWQyMWU3MDMtMzhmMi00ZTZjLTk5NjAtN2VmOGFiNzJiMmEyXkEyXkFqcGc@._V1_SX300.jpg
Avengers Assemble!,2010–,tt1779952,series,https://m.media-amazon.com/images/M/MV5BNDA4MTZmMzgtMjk3NC00NzdkLWEyNDQtMTYwZTg3MzIxMTFhXkEyXkFqcGdeQXVyNDkwNjIxMw@@._V1_SX300.jpg
LEGO Marvel Avengers: Climate Conundrum,2020,tt13783758,series,https://m.media-amazon.com/images/M/MV5BMzZlYzg5ODctYjkwYy00MDk4LWJmNjItOTc4YjRlNGVlZDhiXkEyXkFqcGc@._V1_SX300.jpg
Alien Avengers II,1997,tt0118581,movie,https://m.media-amazon.com/images/M/MV5BZDk1NjdjMTYtMGYxZC00NjZkLWEyYzAtNDc3NWFjNWJkOTRlXkEyXkFqcGc@._V1_SX300.jpg
LEGO Marvel Avengers: Time Twisted,2022–,tt16531868,series,https://m.media-amazon.com/images/M/MV5BY2VhMzI3YzMtMjY5Yy00NmY2LTk1Y2EtNjVkYTZkZWVlOGJlXkEyXkFqcGc@._V1_SX300.jpg
Marvel Avengers Academy,2016,tt5439146,game,https://m.media-amazon.com/images/M/MV5BM2Q5OTU2MzQtZmNiOS00Njk5LWE0ZDQtMDIwMTQ2NzAyMWY2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDA5ODU0NDg@._V1_SX300.jpg
Captain America and the Avengers,1991,tt0421939,game,https://m.media-amazon.com/images/M/MV5BZDhiN2JlMTUtZTZjZS00ODM3LWE1YmYtYjk2MTkxZmNhNGYxXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg
Bikini Avengers,2015,tt4180582,movie,https://m.media-amazon.com/images/M/MV5BODg1YmE2NTQtMGJjMy00N2MxLTgxZGEtN2FmYjk4OWNjODVkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
Marvel: Avengers Alliance,2012,tt2355709,game,https://m.media-amazon.com/images/M/MV5BYTI3NDQ1OTktYmEzMi00NWRiLTgzMWYtNmNjYWFlMDllYTExXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg
Ninja Avengers,1987,tt0199812,movie,https://m.media-amazon.com/images/M/MV5BMTUyNDI1MDc4OV5BMl5BanBnXkFtZTcwNzM4NzcxMQ@@._V1_SX300.jpg
Three Avengers,1979,tt0079110,movie,https://m.media-amazon.com/images/M/MV5BYTBkYmUzM2ItMzhhNi00MTMyLTg2MTktM2UyNGY4MWQ0YmJkXkEyXkFqcGdeQXVyMTc3MjY3NTY@._V1_SX300.jpg
Marvel Pinball: Avengers Chronicles,2012,tt2791440,game,https://m.media-amazon.com/images/M/MV5BNzRhNWMyYjYtYTBmMi00MGE1LWJiMTUtNzU3ZTlhYzBjMWZlXkEyXkFqcGdeQXVyOTIzNDM2OTQ@._V1_SX300.jpg
The AXI: The Avengers of Extreme Illusions,2011–,tt2256925,series,https://m.media-amazon.com/images/M/MV5BMjAwODY5NzYyM15BMl5BanBnXkFtZTgwNzY5NzkxNDE@._V1_SX300.jpg
The Avengers Assemble Premiere,2012,tt10075836,movie,https://m.media-amazon.com/images/M/MV5BMjc1ZDMzMjEtYTc2Yy00ZDYzLThlOTMtZTUxYTgwODFiYTBjXkEyXkFqcGc@._V1_SX300.jpg
The Three Avengers,1964,tt0058651,movie,https://m.media-amazon.com/images/M/MV5BOGE3MWVmZWQtNzA0OC00YTI3LTkzMWQtMzM1MGFkM2U1YTE2XkEyXkFqcGc@._V1_SX300.jpg
LEGO Marvel Avengers: Loki in Training,2021,tt21072140,movie,https://m.media-amazon.com/images/M/MV5BY2JmMWNhZTEtZjI1MS00ZDgxLWJkYzctMTg3ZjJhOTc3MzNiXkEyXkFqcGc@._V1_SX300.jpg
Avengers: Infinity War - The Mad Titan,2018,tt8850330,movie,N/A
Avengers: Age of Ultron - From the Inside Out: Making of Avengers - Age of Ultron,2015,tt5180410,movie,https://m.media-amazon.com/images/M/MV5BNzA3MzgzZDctMTMyYi00MjQ1LWFhNTYtMDE2ODUwNTZkOTEzXkEyXkFqcGdeQXVyMTE3ODkxNjU4._V1_SX300.jpg
Shaolin Avengers,1994,tt0185673,movie,https://m.media-amazon.com/images/M/MV5BMzU5MjI4ZDktYzZhNi00ZWY2LThhMTEtZDY4MjI2MTBkMGM3XkEyXkFqcGc@._V1_SX300.jpg
The Dark Avengers,2005,tt0492596,movie,https://m.media-amazon.com/images/M/MV5BMjEwNzY0NzU1N15BMl5BanBnXkFtZTgwMzE0ODUzNzE@._V1_SX300.jpg
Avengers Civil War Stop Motion: End Game,2018,tt9511690,movie,https://m.media-amazon.com/images/M/MV5BMjk5MzQ5MzQtZGEzOS00NTZhLWEzNjktZjgzODNkOTg0NDRjXkEyXkFqcGc@._V1_SX300.jpg
Marvel Studios' Avengers: Endgame LIVE Red Carpet World Premiere,2019,tt10240638,movie,https://m.media-amazon.com/images/M/MV5BM2E4Nzk0NDQtZTFmOC00MDI5LWFmYmEtNWNlMzhkMDA1MzZmXkEyXkFqcGc@._V1_SX300.jpg
Marvel Avengers: Battle for Earth,2012,tt2397511,game,https://m.media-amazon.com/images/M/MV5BMzVjMzdiZDMtYzY2OS00YWQxLWJiNTMtNzFiMDJiYzg1ZGU1XkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg
Avengers: Age of Ultron - Global Adventure,2015,tt5181714,movie,N/A
Avengers: Infinity War - Strange Alchemy,2018,tt8850118,movie,N/A
Avengers Assemble in the Playroom,2012,tt3872762,movie,N/A
Avengers: Secret Wars (Shorts),2017,tt29511598,series,https://m.media-amazon.com/images/M/MV5BYjc2N2YyY2QtZGI1Yy00MDZkLWEwMDktYTI2YWM2MTAyOGI5XkEyXkFqcGc@._V1_SX300.jpg
The Avengers,1950,tt0167779,movie,https://m.media-amazon.com/images/M/MV5BZTg2ZGU4MzEtMDQ5ZS00OTg1LTllYjEtNThlNzFkOWNmYzBiXkEyXkFqcGc@._V1_SX300.jpg
Avengers: Endgame and the Latest Captain Marvel Outrage!!,2019,tt10025738,movie,https://m.media-amazon.com/images/M/MV5BZjg2ZTM3OTgtY2ExMS00OGM4LTg3NDEtNjQ0MjJiZDFmMGFkXkEyXkFqcGdeQXVyMDY3OTcyOQ@@._V1_SX300.jpg
The Avengers: Assembling the Ultimate Team,2012,tt5180254,movie,N/A
The Avengers: A Visual Journey,2012,tt5180256,movie,N/A
Avengers: Infinity War Demastered,2019,tt13925114,movie,https://m.media-amazon.com/images/M/MV5BYzMwMzRiYzctNDY4MS00NjJjLTk0NWMtMzQ4YTg5OGRkY2UyXkEyXkFqcGdeQXVyOTEwOTQ2Nzg@._V1_SX300.jpg
Avengers: Infinity - Stop Motion Movie,2020,tt12287372,movie,https://m.media-amazon.com/images/M/MV5BOWM1YWNhYzEtODQ0MC00MDEzLThlN2ItZDk0NGQxMmZmNGQ4XkEyXkFqcGdeQXVyMzc1MDQyNTM@._V1_SX300.jpg
Avengers,1987,tt2164490,game,https://m.media-amazon.com/images/M/MV5BYWVkOGRjOWMtYjc4MC00ZDVhLTkxMDItYmNkOTRkMDFiNTFkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg
Avenging the Avengers,2000,tt0285444,movie,https://m.media-amazon.com/images/M/MV5BMTg4NzcxMjI5OF5BMl5BanBnXkFtZTcwNTI2OTEyMQ@@._V1_SX300.jpg
Avengers: Damage Control,2019,tt11083974,game,https://m.media-amazon.com/images/M/MV5BYmJlY2Y5MzItMTQxNC00M2VkLTkzNTYtZGYwMzViZGRmMGIwXkEyXkFqcGdeQXVyMjQxNzM0MjI@._V1_SX300.jpg
Avengers Civil War Stop Motion: Fallen Son,2018,tt9399416,movie,https://m.media-amazon.com/images/M/MV5BZWI2ZmMwMTQtMTEwZS00NGRmLWJlM2QtOTI5NDJhZWIyNzk0XkEyXkFqcGdeQXVyMzc1MDQyNTM@._V1_SX300.jpg
Avengers S.T.A.T.I.O.N.,2014,tt6331934,movie,https://m.media-amazon.com/images/M/MV5BOTI0MDcxN2QtYzk3NS00YzQ4LWJhMDYtZTUyYmZmZDRlOGFjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTgzNzUxMzE@._V1_SX300.jpg
Road to 'The Avengers',2011,tt5484160,movie,N/A
"The Lesbian Avengers Eat Fire, Too",1993,tt7870278,movie,https://m.media-amazon.com/images/M/MV5BNmE3OGFiYmUtMDQwZS00MGE5LTg5ODctZGQ4MTBkYmQ5NzI4XkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX300.jpg
Black Panther: The Fallen Avengers,2018,tt7958082,movie,https://m.media-amazon.com/images/M/MV5BNTI1ZGZkYmItMGIzNy00MjQ1LWExZjQtM2YyODk3MDZhNjYxXkEyXkFqcGdeQXVyNTYwMTgzMTI@._V1_SX300.jpg
Lego Avengers - Spider-Man Meets Social Media,2020,tt12999320,movie,https://m.media-amazon.com/images/M/MV5BMjAxZmMwMjEtZWI2OC00ODRjLTliNzEtNWFjZDYyNzAzMTc0XkEyXkFqcGdeQXVyMzc1MDQyNTM@._V1_SX300.jpg
Rifftrax: Avengers: Endgame,2020,tt16103750,movie,https://m.media-amazon.com/images/M/MV5BN2I4MDZkMDgtNTc2YS00NGE2LWEwZTAtOTlkYTVhYmNlOTNiXkEyXkFqcGc@._V1_SX300.jpg
Avengers of the Apocalypse!,2008,tt1545015,movie,https://m.media-amazon.com/images/M/MV5BMTc3NDUwNDUzOF5BMl5BanBnXkFtZTcwOTM3ODc2OQ@@._V1_SX300.jpg
Baby Avengers,2017–,tt6629798,series,https://m.media-amazon.com/images/M/MV5BYjE1ZjBkNjAtZjM4Ni00Y2RhLTg4MTctZjYxYTlhZjhhNmJiXkEyXkFqcGdeQXVyNzAwNzAwNTk@._V1_SX300.jpg
First Look at Ultimate Avengers II,2006,tt0933366,movie,N/A
Avengers of the Reef,1973,tt0069746,movie,https://m.media-amazon.com/images/M/MV5BZjVlODE5ZTgtYzU2Mi00NDU1LThmNDktMGI4ZjdjNzkwYmM2XkEyXkFqcGdeQXVyMDM3ODU0Nw@@._V1_SX300.jpg
Avengers: Infinity War Recreation,2018,tt8785008,movie,https://m.media-amazon.com/images/M/MV5BNDhkN2E4OWUtNjA2NC00NzRhLTg0N2YtZmJhODI4ZmY4OWQ0XkEyXkFqcGc@._V1_SX300.jpg
Avengers: Reassembled,2018,tt8875872,movie,https://m.media-amazon.com/images/M/MV5BMTY4MGY2ZmEtZTFjYS00YmNhLWFhYzAtNDljODc2Y2UzYWYyXkEyXkFqcGdeQXVyNjgzODgzNjA@._V1_SX300.jpg
Avengers Age of Ultron: Marvelous Movie Shawarma,2013,tt3291874,movie,N/A
The Avengers Badly Animated Adventures,2013,tt3328602,movie,https://m.media-amazon.com/images/M/MV5BY2QzMGFkMzEtZjUzMy00MzM0LWFiYTQtYTg1NGNhM2I5ZDc5XkEyXkFqcGdeQXVyMzYzNzc1NjY@._V1_SX300.jpg
Avengers: Age of Ultron Parody,2015,tt5262972,movie,N/A
Avengers: Age of Ultron - Bookending the Action,2015,tt6731268,movie,N/A
Secret Avengers: The Coldest War,2019,tt13267444,movie,N/A
Bully Avengers,2011,tt1992098,movie,https://m.media-amazon.com/images/M/MV5BMGY3NmY1MjItZDgxNi00OWJjLTlhNzItNmMyMGE0Mjg0ZTJkXkEyXkFqcGdeQXVyMjMyODUxNjM@._V1_SX300.jpg
Avengers: Civil War,2022–,tt15608590,series,N/A
A Brighter Summer Day for the Lady Avengers,2024,tt36618992,movie,https://m.media-amazon.com/images/M/MV5BZWY5MjFhNzUtMWNjMy00OTAyLTg5ZTUtMGM0MTRjNWYyNmE4XkEyXkFqcGc@._V1_SX300.jpg
Shaolin Avengers,2025,tt29928418,movie,https://m.media-amazon.com/images/M/MV5BYmQ1NTc4NWEtNTJmOC00NDg1LTliZWEtYjU0YmEyYjcyMTZjXkEyXkFqcGc@._V1_SX300.jpg
The Avengers,2012,tt0848228,movie,
Avengers: Endgame,2019,tt4154796,movie,
Avengers: Infinity War,2018,tt4154756,movie,
Avengers: Age of Ultron,2015,tt2395427,movie,
The Avengers,1998,tt0118661,movie,
The Avengers: Earth's Mightiest Heroes,2010–2024,tt1626038,series,
Ultimate Avengers: The Movie,2006,tt0491703,movie,
The Avengers,1961–1969,tt0054518,series,
Avengers Assemble,2012–2019,tt2455546,series,
Ultimate Avengers II,2006,tt0803093,movie,
Next Avengers: Heroes of Tomorrow,2008,tt1259998,movie,
Avengers Confidential: Black Widow & Punisher,2014,tt3482378,movie,
Crippled Avengers,1978,tt0077292,movie,
The New Avengers,1976–1977,tt0074031,series,
Avengers Grimm,2015,tt4296026,movie,
The Avengers: United They Stand,1999–2000,tt0203247,series,
Lego Marvel Avengers: Code Red,2023,tt28477867,movie,
Marvel's Avengers,2020,tt6468680,game,
Lego Marvel Super Heroes: Avengers Reassembled,2015,tt5371572,movie,
Lego Marvel's Avengers,2016,tt4776398,game,
Masked Avengers,1981,tt0082153,movie,
Avengers of Justice: Farce Wars,2018,tt6172666,movie,
The Avengers,1942,tt0034639,movie,
Avengers: Infinity War IMAX® Behind the Frame,2018,tt11559766,series,
Lego Marvel Avengers: Mission Demolition,2024,tt33653255,movie,
Avengers Grimm: Time Wars,2018,tt8159584,movie,
Alien Avengers,1996,tt0115503,movie,
Marvel Future Avengers,2017–2018,tt6591446,series,
Teenage Alien Avengers,1999,tt0200421,movie,
Marvel Disk Wars: The Avengers,2014–2015,tt3644256,series,
The Shaolin Avengers,1976,tt0074513,movie,
Avengers: Quantum Encounter,2022,tt21192014,movie,
Avengers Social Club,2017,tt7375028,series,
Avengers Assemble!,2010–,tt1779952,series,
LEGO Marvel Avengers: Climate Conundrum,2020,tt13783758,series,
Alien Avengers II,1997,tt0118581,movie,
LEGO Marvel Avengers: Time Twisted,2022–,tt16531868,series,
Marvel Avengers Academy,2016,tt5439146,game,
Captain America and the Avengers,1991,tt0421939,game,
Bikini Avengers,2015,tt4180582,movie,
Marvel: Avengers Alliance,2012,tt2355709,game,
Ninja Avengers,1987,tt0199812,movie,
Three Avengers,1979,tt0079110,movie,
Marvel Pinball: Avengers Chronicles,2012,tt2791440,game,
The AXI: The Avengers of Extreme Illusions,2011–,tt2256925,series,
The Avengers Assemble Premiere,2012,tt10075836,movie,
The Three Avengers,1964,tt0058651,movie,
LEGO Marvel Avengers: Loki in Training,2021,tt21072140,movie,
Avengers: Infinity War - The Mad Titan,2018,tt8850330,movie,
Avengers: Age of Ultron - From the Inside Out: Making of Avengers - Age of Ultron,2015,tt5180410,movie,
Shaolin Avengers,1994,tt0185673,movie,
The Dark Avengers,2005,tt0492596,movie,
Avengers Civil War Stop Motion: End Game,2018,tt9511690,movie,
Marvel Studios' Avengers: Endgame LIVE Red Carpet World Premiere,2019,tt10240638,movie,
Marvel Avengers: Battle for Earth,2012,tt2397511,game,
Avengers: Age of Ultron - Global Adventure,2015,tt5181714,movie,
Avengers: Infinity War - Strange Alchemy,2018,tt8850118,movie,
Avengers Assemble in the Playroom,2012,tt3872762,movie,
Avengers: Secret Wars (Shorts),2017,tt29511598,series,
The Avengers,1950,tt0167779,movie,
Avengers: Endgame and the Latest Captain Marvel Outrage!!,2019,tt10025738,movie,
The Avengers: Assembling the Ultimate Team,2012,tt5180254,movie,
The Avengers: A Visual Journey,2012,tt5180256,movie,
Avengers: Infinity War Demastered,2019,tt13925114,movie,
Avengers: Infinity - Stop Motion Movie,2020,tt12287372,movie,
Avengers,1987,tt2164490,game,
Avenging the Avengers,2000,tt0285444,movie,
Avengers: Damage Control,2019,tt11083974,game,
Avengers Civil War Stop Motion: Fallen Son,2018,tt9399416,movie,
Avengers S.T.A.T.I.O.N.,2014,tt6331934,movie,
Road to 'The Avengers',2011,tt5484160,movie,
"The Lesbian Avengers Eat Fire, Too",1993,tt7870278,movie,
Black Panther: The Fallen Avengers,2018,tt7958082,movie,
Lego Avengers - Spider-Man Meets Social Media,2020,tt12999320,movie,
Rifftrax: Avengers: Endgame,2020,tt16103750,movie,
Avengers of the Apocalypse!,2008,tt1545015,movie,
Baby Avengers,2017–,tt6629798,series,
First Look at Ultimate Avengers II,2006,tt0933366,movie,
Avengers of the Reef,1973,tt0069746,movie,
Avengers: Infinity War Recreation,2018,tt8785008,movie,
Avengers: Reassembled,2018,tt8875872,movie,
Avengers Age of Ultron: Marvelous Movie Shawarma,2013,tt3291874,movie,
The Avengers Badly Animated Adventures,2013,tt3328602,movie,
Avengers: Age of Ultron Parody,2015,tt5262972,movie,
Avengers: Age of Ultron - Bookending the Action,2015,tt6731268,movie,
Secret Avengers: The Coldest War,2019,tt13267444,movie,
Bully Avengers,2011,tt1992098,movie,
Avengers: Civil War,2022–,tt15608590,series,
A Brighter Summer Day for the Lady Avengers,2024,tt36618992,movie,
Shaolin Avengers,2025,tt29928418,movie,
The Avengers,2012,tt0848228,movie,
Avengers: Endgame,2019,tt4154796,movie,
Avengers: Infinity War,2018,tt4154756,movie,
Avengers: Age of Ultron,2015,tt2395427,movie,
The Avengers,1998,tt0118661,movie,
The Avengers: Earth's Mightiest Heroes,2010–2024,tt1626038,series,
Ultimate Avengers: The Movie,2006,tt0491703,movie,
The Avengers,1961–1969,tt0054518,series,
Avengers Assemble,2012–2019,tt2455546,series,
Ultimate Avengers II,2006,tt0803093,movie,
Next Avengers: Heroes of Tomorrow,2008,tt1259998,movie,
Avengers Confidential: Black Widow & Punisher,2014,tt3482378,movie,
Crippled Avengers,1978,tt0077292,movie,
The New Avengers,1976–1977,tt0074031,series,
Avengers Grimm,2015,tt4296026,movie,
The Avengers: United They Stand,1999–2000,tt0203247,series,
Lego Marvel Avengers: Code Red,2023,tt28477867,movie,
Marvel's Avengers,2020,tt6468680,game,
Lego Marvel Super Heroes: Avengers Reassembled,2015,tt5371572,movie,
Lego Marvel's Avengers,2016,tt4776398,game,
Masked Avengers,1981,tt0082153,movie,
Avengers of Justice: Farce Wars,2018,tt6172666,movie,
The Avengers,1942,tt0034639,movie,
Avengers: Infinity War IMAX® Behind the Frame,2018,tt11559766,series,
Lego Marvel Avengers: Mission Demolition,2024,tt33653255,movie,
Avengers Grimm: Time Wars,2018,tt8159584,movie,
Alien Avengers,1996,tt0115503,movie,
Marvel Future Avengers,2017–2018,tt6591446,series,
Teenage Alien Avengers,1999,tt0200421,movie,
Marvel Disk Wars: The Avengers,2014–2015,tt3644256,series,
The Shaolin Avengers,1976,tt0074513,movie,
Avengers: Quantum Encounter,2022,tt21192014,movie,
Avengers Social Club,2017,tt7375028,series,
Avengers Assemble!,2010–,tt1779952,series,
LEGO Marvel Avengers: Climate Conundrum,2020,tt13783758,series,
Alien Avengers II,1997,tt0118581,movie,
LEGO Marvel Avengers: Time Twisted,2022–,tt16531868,series,
Marvel Avengers Academy,2016,tt5439146,game,
Captain America and the Avengers,1991,tt0421939,game,
Bikini Avengers,2015,tt4180582,movie,
Marvel: Avengers Alliance,2012,tt2355709,game,
Ninja Avengers,1987,tt0199812,movie,
Three Avengers,1979,tt0079110,movie,
Marvel Pinball: Avengers Chronicles,2012,tt2791440,game,
The AXI: The Avengers of Extreme Illusions,2011–,tt2256925,series,
The Avengers Assemble Premiere,2012,tt10075836,movie,
The Three Avengers,1964,tt0058651,movie,
LEGO Marvel Avengers: Loki in Training,2021,tt21072140,movie,
Avengers: Infinity War - The Mad Titan,2018,tt8850330,movie,
Avengers: Age of Ultron - From the Inside Out: Making of Avengers - Age of Ultron,2015,tt5180410,movie,
Shaolin Avengers,1994,tt0185673,movie,
The Dark Avengers,2005,tt0492596,movie,
Avengers Civil War Stop Motion: End Game,2018,tt9511690,movie,
Marvel Studios' Avengers: Endgame LIVE Red Carpet World Premiere,2019,tt10240638,movie,
Marvel Avengers: Battle for Earth,2012,tt2397511,game,
Avengers: Age of Ultron - Global Adventure,2015,tt5181714,movie,
Avengers: Infinity War - Strange Alchemy,2018,tt8850118,movie,
Avengers Assemble in the Playroom,2012,tt3872762,movie,
Avengers: Secret Wars (Shorts),2017,tt29511598,series,
The Avengers,1950,tt0167779,movie,
Avengers: Endgame and the Latest Captain Marvel Outrage!!,2019,tt10025738,movie,
The Avengers: Assembling the Ultimate Team,2012,tt5180254,movie,
